Date,Price,Open,High,Low,Volume,Change_Pct
2024-01-01,6242.87,6242.87,6242.87,6242.87,0,-0.06
2024-01-02,6233.42,6233.42,6233.42,6233.42,0,-0.15
2024-01-03,6236.07,6236.07,6236.07,6236.07,0,0.04
2024-01-04,6244.17,6244.17,6244.17,6244.17,0,0.13
2024-01-08,6269.51,6269.51,6269.51,6269.51,0,0.41
2024-01-09,6267.82,6267.82,6267.82,6267.82,0,-0.03
2024-01-10,6285.25,6285.25,6285.25,6285.25,0,0.28
2024-01-11,6301.7,6301.7,6301.7,6301.7,0,0.26
2024-01-15,6318.08,6318.08,6318.08,6318.08,0,0.26
2024-01-16,6331.61,6331.61,6331.61,6331.61,0,0.21
2024-01-17,6346.21,6346.21,6346.21,6346.21,0,0.23
2024-01-18,6336.76,6336.76,6336.76,6336.76,0,-0.15
2024-01-22,6254.31,6254.31,6254.31,6254.31,0,-1.3
2024-01-23,6276.26,6276.26,6276.26,6276.26,0,0.35
2024-01-24,6226.65,6226.65,6226.65,6226.65,0,-0.79
2024-01-25,6156.41,6156.41,6156.41,6156.41,0,-1.13
2024-01-29,6097.23,6097.23,6097.23,6097.23,0,-0.96
2024-01-30,6150.22,6150.22,6150.22,6150.22,0,0.87
2024-01-31,6153.34,6153.34,6153.34,6153.34,0,0.05
2024-02-01,6213.99,6213.99,6213.99,6213.99,0,0.99
2024-02-05,6322.6,6322.6,6322.6,6322.6,0,1.75
2024-02-06,6346.06,6346.06,6346.06,6346.06,0,0.37
2024-02-07,6352.5,6352.5,6352.5,6352.5,0,0.1
2024-02-08,6373.35,6373.35,6373.35,6373.35,0,0.33
2024-02-12,6424.93,6424.93,6424.93,6424.93,0,0.81
2024-02-13,6394.82,6394.82,6394.82,6394.82,0,-0.47
2024-02-14,6371.54,6371.54,6371.54,6371.54,0,-0.36
2024-02-15,6336.25,6336.25,6336.25,6336.25,0,-0.55
2024-02-19,6258.98,6258.98,6258.98,6258.98,0,-1.22
2024-02-20,6256.13,6256.13,6256.13,6256.13,0,-0.05
2024-02-22,6273.96,6273.96,6273.96,6273.96,0,0.29
2024-02-27,6272.73,6272.73,6272.73,6272.73,0,-0.02
2024-02-28,6268.63,6268.63,6268.63,6268.63,0,-0.07
2024-02-29,6254.54,6254.54,6254.54,6254.54,0,-0.22
2024-03-04,6175.25,6175.25,6175.25,6175.25,0,-1.27
2024-03-05,6131.14,6131.14,6131.14,6131.14,0,-0.71
2024-03-06,6166.14,6166.14,6166.14,6166.14,0,0.57
2024-03-07,6112.76,6112.76,6112.76,6112.76,0,-0.87
2024-03-11,6058.39,6058.39,6058.39,6058.39,0,-0.89
2024-03-12,6006.88,6006.88,6006.88,6006.88,0,-0.85
2024-03-13,5974.11,5974.11,5974.11,5974.11,0,-0.55
2024-03-14,5968.04,5968.04,5968.04,5968.04,0,-0.1
2024-03-18,5898.24,5898.24,5898.24,5898.24,0,-1.17
2024-03-19,5814.1,5814.1,5814.1,5814.1,0,-1.43
2024-03-20,5872.58,5872.58,5872.58,5872.58,0,1.01
2024-03-21,5941.66,5941.66,5941.66,5941.66,0,1.18
2024-03-25,5834.39,5834.39,5834.39,5834.39,0,-1.81
2024-03-27,5762.68,5762.68,5762.68,5762.68,0,-1.23
2024-03-28,5778.33,5778.33,5778.33,5778.33,0,0.27
2024-04-01,5761.38,5761.38,5761.38,5761.38,0,-0.29
2024-04-02,5738.4,5738.4,5738.4,5738.4,0,-0.4
2024-04-03,5776.08,5776.08,5776.08,5776.08,0,0.66
2024-04-04,5796.12,5796.12,5796.12,5796.12,0,0.35
2024-04-08,5860.23,5860.23,5860.23,5860.23,0,1.11
2024-04-09,5864.09,5864.09,5864.09,5864.09,0,0.07
2024-04-15,5778.77,5778.77,5778.77,5778.77,0,-1.45
2024-04-16,5774.58,5774.58,5774.58,5774.58,0,-0.07
2024-04-17,5763.77,5763.77,5763.77,5763.77,0,-0.19
2024-04-18,5686.69,5686.69,5686.69,5686.69,0,-1.34
2024-04-22,5674.87,5674.87,5674.87,5674.87,0,-0.21
2024-04-23,5633.61,5633.61,5633.61,5633.61,0,-0.73
2024-04-24,5578.97,5578.97,5578.97,5578.97,0,-0.97
2024-04-25,5518.48,5518.48,5518.48,5518.48,0,-1.08
2024-04-29,5569.69,5569.69,5569.69,5569.69,0,0.93
2024-04-30,5584.65,5584.65,5584.65,5584.65,0,0.27
2024-05-02,5615.65,5615.65,5615.65,5615.65,0,0.56
2024-05-06,5727.02,5727.02,5727.02,5727.02,0,1.98
2024-05-07,5725.28,5725.28,5725.28,5725.28,0,-0.03
2024-05-08,5690.78,5690.78,5690.78,5690.78,0,-0.6
2024-05-09,5661.05,5661.05,5661.05,5661.05,0,-0.52
2024-05-13,5666.76,5666.76,5666.76,5666.76,0,0.1
2024-05-14,5585.62,5585.62,5585.62,5585.62,0,-1.43
2024-05-15,5527.4,5527.4,5527.4,5527.4,0,-1.04
2024-05-16,5517.42,5517.42,5517.42,5517.42,0,-0.18
2024-05-20,5393.65,5393.65,5393.65,5393.65,0,-2.24
2024-05-21,5371.1,5371.1,5371.1,5371.1,0,-0.42
2024-05-23,5312.4,5312.4,5312.4,5312.4,0,-1.09
2024-05-27,5310.52,5310.52,5310.52,5310.52,0,-0.04
2024-05-28,5278.88,5278.88,5278.88,5278.88,0,-0.6
2024-05-29,5228.53,5228.53,5228.53,5228.53,0,-0.95
2024-05-30,5251.96,5251.96,5251.96,5251.96,0,0.45
2024-06-03,5235.63,5235.63,5235.63,5235.63,0,-0.31
2024-06-04,5247.53,5247.53,5247.53,5247.53,0,0.23
2024-06-05,5224.37,5224.37,5224.37,5224.37,0,-0.44
2024-06-06,5237.32,5237.32,5237.32,5237.32,0,0.25
