Date,Price,Open,High,Low,Volume,Change_Pct
2013-01-30,4126.75,4126.75,4126.75,4126.75,0,-0.67
2013-01-31,4136.3,4136.3,4136.3,4136.3,0,0.23
2013-02-03,4163.82,4163.82,4163.82,4163.82,0,0.67
2013-02-04,4164.62,4164.62,4164.62,4164.62,0,0.02
2013-02-05,4191.5,4191.5,4191.5,4191.5,0,0.65
2013-02-06,4201.98,4201.98,4201.98,4201.98,0,0.25
2013-02-07,4199.58,4199.58,4199.58,4199.58,0,-0.06
2013-02-10,4248.44,4248.44,4248.44,4248.44,0,1.16
2013-02-11,4271.15,4271.15,4271.15,4271.15,0,0.53
2013-02-12,4240.43,4240.43,4240.43,4240.43,0,-0.72
2013-02-13,4253.45,4253.45,4253.45,4253.45,0,0.31
2013-02-14,4304.97,4304.97,4304.97,4304.97,0,1.21
2013-02-17,4286.32,4286.32,4286.32,4286.32,0,-0.43
2013-02-18,4265.09,4265.09,4265.09,4265.09,0,-0.5
2013-02-19,4210.26,4210.26,4210.26,4210.26,0,-1.29
2013-02-20,4155.45,4155.45,4155.45,4155.45,0,-1.3
2013-02-24,4058.65,4058.65,4058.65,4058.65,0,-2.33
2013-02-25,4010.27,4010.27,4010.27,4010.27,0,-1.19
2013-02-26,4068.4,4068.4,4068.4,4068.4,0,1.45
2013-02-27,3956.89,3956.89,3956.89,3956.89,0,-2.74
2013-02-28,3973.28,3973.28,3973.28,3973.28,0,0.41
2013-03-03,3765.98,3765.98,3765.98,3765.98,0,-5.22
2013-03-04,3894.59,3894.59,3894.59,3894.59,0,3.42
2013-03-05,3884.5,3884.5,3884.5,3884.5,0,-0.26
2013-03-06,3854.65,3854.65,3854.65,3854.65,0,-0.77
2013-03-07,3832.85,3832.85,3832.85,3832.85,0,-0.57
2013-03-10,3791.86,3791.86,3791.86,3791.86,0,-1.07
2013-03-11,3761.97,3761.97,3761.97,3761.97,0,-0.79
2013-03-12,3787.86,3787.86,3787.86,3787.86,0,0.69
2013-03-13,3836.11,3836.11,3836.11,3836.11,0,1.27
2013-03-14,3845.8,3845.8,3845.8,3845.8,0,0.25
2013-03-18,3862.7,3862.7,3862.7,3862.7,0,0.44
2013-03-19,3894.61,3894.61,3894.61,3894.61,0,0.83
2013-03-20,3856.61,3856.61,3856.61,3856.61,0,-0.98
2013-03-24,3774.71,3774.71,3774.71,3774.71,0,-2.12
2013-03-25,3725.6,3725.6,3725.6,3725.6,0,-1.3
2013-03-27,3642.7,3642.7,3642.7,3642.7,0,-2.23
2013-03-28,3681.65,3681.65,3681.65,3681.65,0,1.07
2013-03-31,3590.04,3590.04,3590.04,3590.04,0,-2.49
2013-04-01,3458.1,3458.1,3458.1,3458.1,0,-3.68
2013-04-02,3503.14,3503.14,3503.14,3503.14,0,1.3
2013-04-03,3526.13,3526.13,3526.13,3526.13,0,0.66
2013-04-04,3507.85,3507.85,3507.85,3507.85,0,-0.52
2013-04-07,3493.27,3493.27,3493.27,3493.27,0,-0.42
2013-04-08,3515.09,3515.09,3515.09,3515.09,0,0.62
2013-04-09,3594.42,3594.42,3594.42,3594.42,0,2.26
2013-04-10,3611.3,3611.3,3611.3,3611.3,0,0.47
2013-04-11,3590.02,3590.02,3590.02,3590.02,0,-0.59
2013-04-15,3636.76,3636.76,3636.76,3636.76,0,1.3
2013-04-16,3571.49,3571.49,3571.49,3571.49,0,-1.79
2013-04-17,3572.68,3572.68,3572.68,3572.68,0,0.03
2013-04-18,3571.26,3571.26,3571.26,3571.26,0,-0.04
2013-04-21,3525.14,3525.14,3525.14,3525.14,0,-1.29
2013-04-22,3515.96,3515.96,3515.96,3515.96,0,-0.26
2013-04-23,3515.26,3515.26,3515.26,3515.26,0,-0.02
2013-04-24,3506.56,3506.56,3506.56,3506.56,0,-0.25
2013-04-25,3503.56,3503.56,3503.56,3503.56,0,-0.09
2013-04-28,3454.52,3454.52,3454.52,3454.52,0,-1.4
2013-04-29,3444.8,3444.8,3444.8,3444.8,0,-0.28
2013-04-30,3438.89,3438.89,3438.89,3438.89,0,-0.17
2013-05-02,3468.18,3468.18,3468.18,3468.18,0,0.85
2013-05-05,3468.56,3468.56,3468.56,3468.56,0,0.01
2013-05-06,3472.17,3472.17,3472.17,3472.17,0,0.1
2013-05-07,3526.6,3526.6,3526.6,3526.6,0,1.57
2013-05-08,3516.91,3516.91,3516.91,3516.91,0,-0.27
2013-05-09,3559.25,3559.25,3559.25,3559.25,0,1.2
2013-05-12,3639.8,3639.8,3639.8,3639.8,0,2.26
